;;;;;;;
;Hébergement touristique;;Hôtellerie;;Parahôtellerie ;;
;Nuitées;part (en %);Nuitées;part (en %);Nuitées;part (en %);
Total;55 357 179 ;1 318,4 ;38 806 777 ;1 351,4 ;16 550 402 ;1 246,8 ;
Janvier;4 198 969 ;100,0 ;2 871 590 ;100,0 ;1 327 379 ;100,0 ;
Février;5 421 910 ;129,1 ;3 194 275 ;111,2 ;2 227 635 ;167,8 ;
Mars;4 763 523 ;113,4 ;3 328 071 ;115,9 ;1 435 452 ;108,1 ;
Avril;3 441 506 ;82,0 ;2 576 811 ;89,7 ;864 695 ;65,1 ;
Mai;3 807 342 ;90,7 ;2 874 763 ;100,1 ;932 579 ;70,3 ;
Juin;4 849 431 ;115,5 ;3 613 500 ;125,8 ;1 235 931 ;93,1 ;
Juillet;7 269 145 ;173,1 ;4 422 988 ;154,0 ;2 846 157 ;214,4 ;
Août;7 005 747 ;166,8 ;4 478 634 ;156,0 ;2 527 113 ;190,4 ;
Septembre;4 987 062 ;118,8 ;3 694 903 ;128,7 ;1 292 159 ;97,3 ;
Octobre;3 919 265 ;93,3 ;2 998 715 ;104,4 ;920 550 ;69,4 ;
Novembre;2 218 222 ;52,8 ;2 025 429 ;70,5 ;192 793 ;14,5 ;
Décembre;3 475 056 ;82,8 ;2 727 098 ;95,0 ;747 958 ;56,3 ;
;;;;;;;
